RunId,iteration,Step,num_houses,noise,start_money_multiplier,start_money_multiplier_newcomers,contentment_threshold,weight_materialistic,housing_growth_rate,population_growth_rate,population,population_homeless,average_cash_homeless,std_cash_homeless,amount_of_houses_Centrum,amount_of_houses_Oost,amount_of_houses_NieuwWest,amount_of_houses_Zuidoost,amount_of_houses_Noord,amount_of_houses_West,amount_of_houses_Zuid,amount_of_empty_houses_Centrum,amount_of_empty_houses_Oost,amount_of_empty_houses_NieuwWest,amount_of_empty_houses_Zuidoost,amount_of_empty_houses_Noord,amount_of_empty_houses_West,amount_of_empty_houses_Zuid,move_in_Centrum,move_in_Oost,move_in_NieuwWest,move_in_Zuidoost,move_in_Noord,move_in_West,move_in_Zuid,move_out_Centrum,move_out_Oost,move_out_NieuwWest,move_out_Zuidoost,move_out_Noord,move_out_West,move_out_Zuid,average_contentment_Centrum,average_contentment_Oost,average_contentment_NieuwWest,average_contentment_Zuidoost,average_contentment_Noord,average_contentment_West,average_contentment_Zuid,average_neighbourhood_component_Centrum,average_neighbourhood_component_Oost,average_neighbourhood_component_NieuwWest,average_neighbourhood_component_Zuidoost,average_neighbourhood_component_Noord,average_neighbourhood_component_West,average_neighbourhood_component_Zuid,std_neighbourhood_component_Centrum,std_neighbourhood_component_Oost,std_neighbourhood_component_NieuwWest,std_neighbourhood_component_Zuidoost,std_neighbourhood_component_Noord,std_neighbourhood_component_West,std_neighbourhood_component_Zuid,average_house_price_Centrum,average_house_price_Oost,average_house_price_NieuwWest,average_house_price_Zuidoost,average_house_price_Noord,average_house_price_West,average_house_price_Zuid,std_house_price_Centrum,std_house_price_Oost,std_house_price_NieuwWest,std_house_price_Zuidoost,std_house_price_Noord,std_house_price_West,std_house_price_Zuid,average_salaries_Centrum,average_salaries_Oost,average_salaries_NieuwWest,average_salaries_Zuidoost,average_salaries_Noord,average_salaries_West,average_salaries_Zuid,std_salaries_Centrum,std_salaries_Oost,std_salaries_NieuwWest,std_salaries_Zuidoost,std_salaries_Noord,std_salaries_West,std_salaries_Zuid,average_cash_Centrum,average_cash_Oost,average_cash_NieuwWest,average_cash_Zuidoost,average_cash_Noord,average_cash_West,average_cash_Zuid,std_cash_Centrum,std_cash_Oost,std_cash_NieuwWest,std_cash_Zuidoost,std_cash_Noord,std_cash_West,std_cash_Zuid
0,0,10,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,3,0,2,1,4,3,4,0,1,2,1,2,0.54848,0.56216,0.55451,0.53007,0.57182,0.56626,0.63990,0.49257,0.54616,0.44940,0.44431,0.53643,0.60691,0.47739,0.13293,0.08443,0.09818,0.17119,0.05988,0.16057,0.20075,589870.34952,572052.13313,565191.43191,548299.67965,587921.73021,558307.07693,575607.74280,45966.16016,20868.67465,41000.02894,8824.73887,31285.42204,36722.68798,31693.64971,73127.33004,47417.03229,93947.33535,90381.50868,82685.93121,91477.95937,80386.80224,16972.64653,22360.05790,58188.17622,13132.11142,20618.93983,28913.91432,43983.46931,530954.27587,274283.68068,714492.39092,760422.09824,666543.78396,704296.87299,510729.08307,164072.50951,218600.81287,551511.35575,139830.36405,171058.74952,261581.52099,402930.08522
5,1,0,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47863,0.54757,0.49858,0.43257,0.36923,0.56510,0.59410,0.64045,0.57696,0.53435,0.40025,0.49496,0.53719,0.58624,0.20328,0.03538,0.03694,0.07464,0.09088,0.09267,0.08458,543204.71429,543204.71429,543204.71429,543204.71429,543204.71429,543204.71429,543204.71429,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,78851.95865,84112.59246,70078.52924,75868.49370,95388.37100,85127.22390,60801.18622,24949.24898,30498.50942,22188.85576,24146.28283,24339.20344,37184.79454,16870.97444,136476.00000,136476.00000,136476.00000,136476.00000,136476.00000,136476.00000,136476.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,1,1,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,2,1,1,1,2,3,1,2,4,0,2,1,1,0.53023,0.49148,0.54557,0.38785,0.50844,0.56930,0.52423,0.59436,0.53934,0.55789,0.44806,0.49346,0.61607,0.57252,0.15949,0.11770,0.03547,0.12225,0.11037,0.12985,0.12081,582629.73206,580352.79118,555833.36469,553478.59139,593065.56130,547077.29856,574623.19857,55766.20463,38593.92063,10906.68226,17794.87714,53634.06929,5158.07766,40940.32787,76845.74389,82905.85127,67248.60047,79640.43137,61873.83910,79159.34950,86072.58708,29745.09036,33474.22759,7345.09058,22603.49717,14561.48626,40370.63980,23148.75723,130987.39321,134833.58607,156157.60163,129433.23633,127362.53421,141573.67715,129562.72779,18982.55616,27142.72553,36380.40194,12198.42450,41454.00566,12194.65854,36569.58535
5,1,2,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,6,2,1,1,2,3,1,2,4,0,3,3,3,0.57606,0.54688,0.60621,0.41109,0.49171,0.55888,0.59187,0.74437,0.57968,0.59668,0.57185,0.44384,0.64359,0.70613,0.10528,0.08194,0.08012,0.10407,0.08724,0.12157,0.10445,582629.73206,596563.06696,561684.86279,553478.59139,604979.27377,547565.41927,577559.46422,55766.20463,56588.61289,15599.54481,17794.87714,57015.43726,5528.73573,39368.24800,76845.74389,63688.65220,65756.37225,79640.43137,79269.73616,87665.96981,86802.23860,29745.09036,16100.51533,7619.49973,22603.49717,25983.13220,43791.46725,24655.72249,181342.13710,134040.73604,184872.63455,185475.66770,204912.06291,216994.66224,183721.87378,15425.37695,49410.39014,34484.90697,26733.73992,64234.16408,61165.96707,41503.24566
5,1,3,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,6,2,1,1,2,3,1,2,4,0,3,3,3,0.59235,0.57343,0.62955,0.43417,0.52474,0.57809,0.61699,0.77688,0.61299,0.57593,0.37114,0.64917,0.56882,0.66342,0.05541,0.05615,0.03058,0.04652,0.03384,0.03589,0.04384,582629.73206,596563.06696,561684.86279,553478.59139,604979.27377,547565.41927,577559.46422,55766.20463,56588.61289,15599.54481,17794.87714,57015.43726,5528.73573,39368.24800,76845.74389,63688.65220,65756.37225,79640.43137,79269.73616,87665.96981,86802.23860,29745.09036,16100.51533,7619.49973,22603.49717,25983.13220,43791.46725,24655.72249,282051.62488,198618.04043,254725.37905,297560.53044,311931.53522,335200.60186,281506.35098,72813.28374,56098.07209,36941.17709,70085.54727,111375.42241,142304.53372,74772.46306
5,1,4,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,6,2,1,1,2,3,1,2,4,0,3,3,3,0.59235,0.57343,0.62955,0.43417,0.52474,0.57809,0.61699,0.64295,0.53494,0.57014,0.50035,0.47622,0.57116,0.54618,0.09329,0.05261,0.03736,0.01957,0.04643,0.05095,0.06615,582629.73206,596563.06696,561684.86279,553478.59139,604979.27377,547565.41927,577559.46422,55766.20463,56588.61289,15599.54481,17794.87714,57015.43726,5528.73573,39368.24800,76845.74389,63688.65220,65756.37225,79640.43137,79269.73616,87665.96981,86802.23860,29745.09036,16100.51533,7619.49973,22603.49717,25983.13220,43791.46725,24655.72249,282051.62488,198618.04043,254725.37905,297560.53044,311931.53522,335200.60186,281506.35098,72813.28374,56098.07209,36941.17709,70085.54727,111375.42241,142304.53372,74772.46306
5,1,5,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,6,2,1,1,2,3,1,2,4,0,3,3,3,0.60467,0.58376,0.64458,0.45116,0.54270,0.59022,0.63252,0.77688,0.61299,0.57593,0.37114,0.64917,0.56882,0.66342,0.05541,0.05615,0.03058,0.04652,0.03384,0.03589,0.04384,582629.73206,596563.06696,561684.86279,553478.59139,604979.27377,547565.41927,577559.46422,55766.20463,56588.61289,15599.54481,17794.87714,57015.43726,5528.73573,39368.24800,76845.74389,63688.65220,65756.37225,79640.43137,79269.73616,87665.96981,86802.23860,29745.09036,16100.51533,7619.49973,22603.49717,25983.13220,43791.46725,24655.72249,382761.11266,263195.34482,324578.12354,409645.39318,418951.00753,453406.54148,379290.82817,132074.86334,76983.20261,44772.16245,114876.54112,161505.19146,228257.36776,119676.89951
5,1,6,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,6,2,1,1,2,3,1,2,4,0,3,3,3,0.60467,0.58376,0.64458,0.45116,0.54270,0.59022,0.63252,0.49810,0.56929,0.59041,0.63514,0.51595,0.45677,0.46621,0.16453,0.06843,0.10232,0.07835,0.12909,0.15235,0.09663,582629.73206,596563.06696,561684.86279,553478.59139,604979.27377,547565.41927,577559.46422,55766.20463,56588.61289,15599.54481,17794.87714,57015.43726,5528.73573,39368.24800,76845.74389,63688.65220,65756.37225,79640.43137,79269.73616,87665.96981,86802.23860,29745.09036,16100.51533,7619.49973,22603.49717,25983.13220,43791.46725,24655.72249,382761.11266,263195.34482,324578.12354,409645.39318,418951.00753,453406.54148,379290.82817,132074.86334,76983.20261,44772.16245,114876.54112,161505.19146,228257.36776,119676.89951
5,1,7,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,6,2,1,1,2,3,1,2,4,0,3,3,3,0.61483,0.59239,0.65742,0.46485,0.55769,0.60026,0.64544,0.77688,0.61299,0.57593,0.37114,0.64917,0.56882,0.66342,0.05541,0.05615,0.03058,0.04652,0.03384,0.03589,0.04384,582629.73206,596563.06696,561684.86279,553478.59139,604979.27377,547565.41927,577559.46422,55766.20463,56588.61289,15599.54481,17794.87714,57015.43726,5528.73573,39368.24800,76845.74389,63688.65220,65756.37225,79640.43137,79269.73616,87665.96981,86802.23860,29745.09036,16100.51533,7619.49973,22603.49717,25983.13220,43791.46725,24655.72249,483470.60044,327772.64921,394430.86803,521730.25592,525970.47984,571612.48110,477075.30537,191478.27023,103825.07418,55757.48115,159901.84532,212519.06807,315109.20708,167085.11764
5,1,8,0.00010,0.00000,2,2,0.75000,0.50000,1.01000,1.01000,42,0,0.00000,0.00000,5,7,6,4,4,8,8,0,0,0,0,0,0,0,1,6,2,1,1,2,3,1,2,4,0,3,3,3,0.61483,0.59239,0.65742,0.46485,0.55769,0.60026,0.64544,0.53703,0.38666,0.48236,0.41313,0.38448,0.45990,0.40219,0.14073,0.11251,0.04880,0.05866,0.05679,0.15398,0.18514,582629.73206,596563.06696,561684.86279,553478.59139,604979.27377,547565.41927,577559.46422,55766.20463,56588.61289,15599.54481,17794.87714,57015.43726,5528.73573,39368.24800,76845.74389,63688.65220,65756.37225,79640.43137,79269.73616,87665.96981,86802.23860,29745.09036,16100.51533,7619.49973,22603.49717,25983.13220,43791.46725,24655.72249,483470.60044,327772.64921,394430.86803,521730.25592,525970.47984,571612.48110,477075.30537,191478.27023,103825.07418,55757.48115,159901.84532,212519.06807,315109.20708,167085.11764
